,AJB,MG,MDG,IH,GWH,DJK,DML,CTM,MM,RMM,SPP,BFP,PR,TWR,MS,EVS,RVL,OSV,JY,VZ,BFPLab,SPLab,RVLLab,VZLab,MDGLab,GWHLab,CTMLab,DMLLab,MMLab,Biological,Materials,Catalysis,Systems
lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,50,50,50,50
